,User-ID,ISBN,Book-Rating
0,4017,0060517794,10
1,4017,0380005239,10
2,4017,0446310786,10
3,4017,0060930187,10
4,4017,0670892963,8
5,4017,0345443284,10
6,4017,0671510053,10
7,4017,067976402X,10
8,4017,0140244824,10
9,4017,0688177859,7
10,4017,0345423097,10
11,4017,014028009X,9
12,4017,0671038184,10
13,4017,0380820145,9
14,4017,0380730138,9
15,4017,068484267X,10
16,4017,0449911004,8
17,4017,0140070206,10
18,4017,0786884622,9
19,4017,0375726624,9
20,4017,0446516538,7
21,4017,068484270X,10
22,4017,0452264790,5
23,4017,0452260116,9
24,4017,0312150601,5
25,4017,0345424719,10
26,4017,037570504X,10
27,4017,0385265700,9
28,4017,0060964049,9
29,4017,1573225789,9
30,4017,0802138578,9
31,4017,0345423291,9
32,4017,0156007754,9
33,4017,068480087X,10
34,4017,0060175966,9
35,4017,0060926201,9
36,4017,006093090X,10
37,4017,0060956291,10
38,4017,0060984333,10
39,4017,0064401774,10
40,4017,0066209463,10
41,4017,0156907399,9
42,4017,0231121008,10
43,4017,0312169868,9
44,4017,0312186886,8
45,4017,0312187343,10
46,4017,0312243111,10
47,4017,0312283474,9
48,4017,0345389247,10
49,4017,0345410289,9
50,4017,0345410394,9
51,4017,0345410424,9
52,4017,0345433491,9
53,4017,0375411550,10
54,4017,0375500510,10
55,4017,0375701966,9
56,4017,0375705856,9
57,4017,0375724443,10
58,4017,0380728826,6
59,4017,0385314256,9
60,4017,0385318782,8
61,4017,0385319207,10
62,4017,0385333293,8
63,4017,0394563158,10
64,4017,0395859972,9
65,4017,0395908728,8
66,4017,0395977711,9
67,4017,0399145079,9
68,4017,0449002985,8
69,4017,0451184149,6
70,4017,0452280621,10
71,4017,0452280699,10
72,4017,0452282098,8
73,4017,0452282829,10
74,4017,0452283167,9
75,4017,0520222571,10
76,4017,0609608738,10
77,4017,067003178X,5
78,4017,0671748092,10
79,4017,0679411267,10
80,4017,0679414614,9
81,4017,0679416730,9
82,4017,0679723692,9
83,4017,0679774025,8
84,4017,0684852047,8
85,4017,0743227840,10
86,4017,0743411358,10
87,4017,0786860219,9
88,4017,0786866470,9
89,4017,0786869011,9
90,4017,0802131867,9
91,4017,0802136265,8
92,4017,0805031871,8
93,4017,1400061598,10
94,4017,1558746161,10
95,4017,1559704640,10
96,4017,1565122437,7
97,4017,1571310169,10
98,4017,1571740562,10
99,4017,1878067990,8
100,4017,1879941201,5
101,26883,0060517794,7
102,26883,0451209907,8
103,26883,0439139600,8
104,26883,0380789035,8
105,26883,0062502182,9
106,26883,0060392452,7
107,26883,0743469801,8
108,26883,0451203895,7
109,26883,0373250118,7
110,26883,0451408888,5
111,26883,0345371984,10
112,26883,0679767959,7
113,26883,0425152499,9
114,26883,0140620427,7
115,26883,0140097058,9
116,26883,0553256092,6
117,26883,0201489376,6
118,26883,0373250347,7
119,26883,0006514480,6
120,26883,0007100922,6
121,26883,0060203889,6
122,26883,0312925883,4
123,26883,0312979487,7
124,26883,0312979576,5
125,26883,0330482076,7
126,26883,0373250371,8
127,26883,0375703845,5
128,26883,0380976498,9
129,26883,0385498233,6
130,26883,0517468522,8
131,26883,074323152X,9
132,26883,0786706546,7
133,26883,1860495540,4
134,37227,0060517794,10
135,37227,0446675059,10
136,37227,0140270590,10
137,37227,0060928336,10
138,37227,0345361792,10
139,37227,0425183238,9
140,37227,0449215296,10
141,37227,0804115613,10
142,37227,0140257934,10
143,37227,080411935X,8
144,37227,0440150167,5
145,37227,0142000345,10
146,37227,0345408918,10
147,37227,0670031046,10
148,37227,0061097659,10
149,37227,0195034147,7
150,37227,0345407253,10
151,37227,0786860197,8
152,52584,0060517794,8
153,52584,002542730X,10
154,52584,0609804138,7
155,52584,0446350982,7
156,52584,0380018179,10
157,52584,0140293248,10
158,52584,0345370805,7
159,52584,0743418174,10
160,52584,0440224675,10
161,52584,0553135457,3
162,52584,0684862719,8
163,52584,0375412824,10
164,52584,0140259112,8
165,52584,0684872153,9
166,52584,0373250118,7
167,52584,038079487X,9
168,52584,1573227226,8
169,52584,0449213447,9
170,52584,0440221099,8
171,52584,0316782475,5
172,52584,0316788228,9
173,52584,0671038869,7
174,52584,080411109X,9
175,52584,0449006344,8
176,52584,0812570944,7
177,52584,0375756981,6
178,52584,0060191015,9
179,52584,0553209671,3
180,52584,0451184963,10
181,52584,042510687X,6
182,52584,0151008884,7
183,52584,0345444884,7
184,52584,0385335121,8
185,52584,0446350109,5
186,52584,044990587X,7
187,52584,0679455612,8
188,52584,0449134482,4
189,52584,0452281881,9
190,52584,0140481346,4
191,52584,0345412974,7
192,52584,0451161343,7
193,52584,0028604202,10
194,52584,0451205758,7
195,52584,0515126896,1
196,52584,0425181626,4
197,52584,0140287434,6
198,52584,0425171590,6
199,52584,0142000329,9
200,52584,0452283043,10
201,52584,0449148378,7
202,52584,0140276432,7
203,52584,0688176933,8
204,52584,0060964987,3
205,52584,0312283407,8
206,52584,0316558524,8
207,52584,0345330773,7
208,52584,0345442636,6
209,52584,0380709899,7
210,52584,0380721392,4
211,52584,0393312275,5
212,52584,0399134832,7
213,52584,0425163709,8
214,52584,0425172643,8
215,52584,0449216411,6
216,52584,0449226352,7
217,52584,0451200861,8
218,52584,0452283124,6
219,52584,0517598817,8
220,52584,052594396X,9
221,52584,0525945431,9
222,52584,0670886408,9
223,52584,0670889059,8
224,52584,0671024698,6
